competitor,product_id,price,scrape_ts,event_date
GrocerX,P100000,1.34,2025-08-27T03:14:07,2025-08-27
MarketHub,P100000,1.43,2025-08-27T02:55:33,2025-08-27
ValueFoods,P100000,1.65,2025-08-27T22:08:06,2025-08-27
GrocerX,P100001,5.81,2025-08-27T14:11:57,2025-08-27
MarketHub,P100001,4.53,2025-08-27T15:25:17,2025-08-27
ValueFoods,P100001,3.16,2025-08-27T10:52:53,2025-08-27
UrbanMart,P100001,5.37,2025-08-27T13:08:30,2025-08-27
ValueFoods,P100002,15.01,2025-08-27T15:16:35,2025-08-27
UrbanMart,P100002,10.74,2025-08-27T07:30:41,2025-08-27
GrocerX,P100003,8.63,2025-08-27T01:26:45,2025-08-27
MarketHub,P100003,7.26,2025-08-27T04:03:00,2025-08-27
ValueFoods,P100003,7.64,2025-08-27T16:37:01,2025-08-27
UrbanMart,P100003,7.62,2025-08-27T22:58:46,2025-08-27
GrocerX,P100004,12.72,2025-08-27T07:09:24,2025-08-27
MarketHub,P100004,8.54,2025-08-27T05:24:24,2025-08-27
ValueFoods,P100004,10.83,2025-08-27T22:34:41,2025-08-27
GrocerX,P100005,6.72,2025-08-27T10:52:46,2025-08-27
MarketHub,P100005,4.14,2025-08-27T07:47:43,2025-08-27
ValueFoods,P100005,10.37,2025-08-27T20:05:39,2025-08-27
UrbanMart,P100005,6.39,2025-08-27T05:04:25,2025-08-27
GrocerX,P100006,3.85,2025-08-27T16:51:01,2025-08-27
UrbanMart,P100006,3.64,2025-08-27T11:36:01,2025-08-27
GrocerX,P100007,8.32,2025-08-27T11:23:08,2025-08-27
MarketHub,P100007,7.09,2025-08-27T04:54:29,2025-08-27
ValueFoods,P100007,9.09,2025-08-27T20:56:56,2025-08-27
UrbanMart,P100007,8.27,2025-08-27T16:16:17,2025-08-27
GrocerX,P100008,3.49,2025-08-27T07:32:04,2025-08-27
MarketHub,P100008,4.00,2025-08-27T02:25:22,2025-08-27
ValueFoods,P100008,4.44,2025-08-27T13:47:43,2025-08-27
UrbanMart,P100008,3.45,2025-08-27T07:18:28,2025-08-27
GrocerX,P100009,2.37,2025-08-27T03:35:35,2025-08-27
MarketHub,P100009,3.38,2025-08-27T02:07:15,2025-08-27
ValueFoods,P100009,3.08,2025-08-27T02:52:22,2025-08-27
GrocerX,P100010,0.61,2025-08-27T18:59:04,2025-08-27
MarketHub,P100010,0.45,2025-08-27T08:34:55,2025-08-27
GrocerX,P100011,6.76,2025-08-27T07:07:04,2025-08-27
MarketHub,P100011,5.43,2025-08-27T07:53:42,2025-08-27
ValueFoods,P100011,6.01,2025-08-27T20:36:18,2025-08-27
UrbanMart,P100011,1.92,2025-08-27T06:18:21,2025-08-27
GrocerX,P100012,11.49,2025-08-27T04:49:39,2025-08-27
MarketHub,P100012,9.34,2025-08-27T14:15:42,2025-08-27
ValueFoods,P100012,10.85,2025-08-27T04:38:28,2025-08-27
UrbanMart,P100012,11.64,2025-08-27T14:24:22,2025-08-27
GrocerX,P100013,4.54,2025-08-27T09:05:43,2025-08-27
MarketHub,P100013,3.87,2025-08-27T17:24:22,2025-08-27
