competitor,product_id,price,scrape_ts,event_date
MarketHub,P100000,1.50,2025-08-01T16:37:12,2025-08-01
ValueFoods,P100000,1.61,2025-08-01T07:40:37,2025-08-01
GrocerX,P100001,5.00,2025-08-01T21:16:40,2025-08-01
MarketHub,P100001,6.07,2025-08-01T23:11:52,2025-08-01
ValueFoods,P100001,3.44,2025-08-01T11:00:32,2025-08-01
UrbanMart,P100001,5.02,2025-08-01T23:27:27,2025-08-01
ValueFoods,P100002,6.59,2025-08-01T01:08:40,2025-08-01
UrbanMart,P100002,8.25,2025-08-01T08:17:06,2025-08-01
MarketHub,P100003,8.41,2025-08-01T11:09:54,2025-08-01
ValueFoods,P100003,6.71,2025-08-01T21:48:37,2025-08-01
UrbanMart,P100003,5.85,2025-08-01T15:56:09,2025-08-01
GrocerX,P100004,6.61,2025-08-01T19:39:35,2025-08-01
MarketHub,P100004,6.96,2025-08-01T13:12:01,2025-08-01
ValueFoods,P100004,12.27,2025-08-01T07:49:27,2025-08-01
UrbanMart,P100004,13.04,2025-08-01T17:01:20,2025-08-01
GrocerX,P100005,9.78,2025-08-01T06:29:49,2025-08-01
MarketHub,P100005,10.58,2025-08-01T01:00:45,2025-08-01
ValueFoods,P100005,4.83,2025-08-01T04:01:49,2025-08-01
GrocerX,P100006,4.97,2025-08-01T08:22:17,2025-08-01
MarketHub,P100006,4.19,2025-08-01T13:09:12,2025-08-01
ValueFoods,P100006,4.89,2025-08-01T07:18:26,2025-08-01
UrbanMart,P100006,4.70,2025-08-01T17:35:08,2025-08-01
GrocerX,P100007,6.41,2025-08-01T18:05:26,2025-08-01
ValueFoods,P100007,9.20,2025-08-01T04:18:13,2025-08-01
UrbanMart,P100007,7.95,2025-08-01T22:50:04,2025-08-01
GrocerX,P100008,3.66,2025-08-01T05:50:31,2025-08-01
MarketHub,P100008,3.94,2025-08-01T18:22:45,2025-08-01
ValueFoods,P100008,5.25,2025-08-01T12:31:31,2025-08-01
MarketHub,P100009,3.43,2025-08-01T22:04:40,2025-08-01
UrbanMart,P100009,3.17,2025-08-01T01:21:22,2025-08-01
ValueFoods,P100010,0.48,2025-08-01T11:14:29,2025-08-01
UrbanMart,P100010,0.68,2025-08-01T22:06:18,2025-08-01
GrocerX,P100011,5.65,2025-08-01T11:52:15,2025-08-01
MarketHub,P100011,8.79,2025-08-01T20:14:34,2025-08-01
ValueFoods,P100011,4.90,2025-08-01T04:24:30,2025-08-01
UrbanMart,P100011,6.78,2025-08-01T10:11:07,2025-08-01
GrocerX,P100012,10.84,2025-08-01T20:39:22,2025-08-01
MarketHub,P100012,8.73,2025-08-01T04:40:03,2025-08-01
ValueFoods,P100012,9.35,2025-08-01T02:43:21,2025-08-01
UrbanMart,P100012,13.94,2025-08-01T23:37:13,2025-08-01
MarketHub,P100013,4.43,2025-08-01T11:23:54,2025-08-01
GrocerX,P100014,5.78,2025-08-01T11:15:33,2025-08-01
MarketHub,P100014,6.19,2025-08-01T13:50:09,2025-08-01
UrbanMart,P100014,4.34,2025-08-01T21:41:48,2025-08-01
GrocerX,P100015,5.28,2025-08-01T06:47:50,2025-08-01
MarketHub,P100015,6.17,2025-08-01T18:24:14,2025-08-01
ValueFoods,P100015,8.55,2025-08-01T22:11:03,2025-08-01
UrbanMart,P100015,7.50,2025-08-01T03:40:53,2025-08-01
GrocerX,P100016,0.46,2025-08-01T02:39:43,2025-08-01
MarketHub,P100016,0.56,2025-08-01T18:15:33,2025-08-01
ValueFoods,P100016,0.36,2025-08-01T15:07:56,2025-08-01
UrbanMart,P100016,0.68,2025-08-01T03:47:19,2025-08-01
GrocerX,P100017,8.20,2025-08-01T10:51:16,2025-08-01
MarketHub,P100017,7.17,2025-08-01T20:28:54,2025-08-01
ValueFoods,P100017,6.87,2025-08-01T23:31:28,2025-08-01
UrbanMart,P100017,6.83,2025-08-01T07:43:03,2025-08-01
GrocerX,P100018,5.67,2025-08-01T22:55:30,2025-08-01
MarketHub,P100018,6.13,2025-08-01T07:53:20,2025-08-01
ValueFoods,P100018,5.71,2025-08-01T07:33:38,2025-08-01
UrbanMart,P100018,5.42,2025-08-01T12:27:30,2025-08-01
GrocerX,P100019,3.05,2025-08-01T15:38:35,2025-08-01
MarketHub,P100019,4.32,2025-08-01T09:25:50,2025-08-01
ValueFoods,P100019,4.46,2025-08-01T22:46:43,2025-08-01
UrbanMart,P100019,3.52,2025-08-01T06:13:13,2025-08-01
GrocerX,P100020,3.36,2025-08-01T22:47:44,2025-08-01
MarketHub,P100020,4.93,2025-08-01T18:42:49,2025-08-01
ValueFoods,P100020,3.14,2025-08-01T04:43:53,2025-08-01
UrbanMart,P100020,3.98,2025-08-01T21:06:15,2025-08-01
GrocerX,P100021,3.79,2025-08-01T04:51:40,2025-08-01
MarketHub,P100021,2.68,2025-08-01T16:36:48,2025-08-01
ValueFoods,P100021,3.44,2025-08-01T15:52:11,2025-08-01
GrocerX,P100022,5.67,2025-08-01T15:17:39,2025-08-01
ValueFoods,P100022,5.54,2025-08-01T04:59:27,2025-08-01
UrbanMart,P100022,6.09,2025-08-01T09:51:20,2025-08-01
GrocerX,P100023,8.36,2025-08-01T09:15:45,2025-08-01
MarketHub,P100023,6.13,2025-08-01T20:03:54,2025-08-01
ValueFoods,P100023,5.13,2025-08-01T13:51:15,2025-08-01
UrbanMart,P100023,7.04,2025-08-01T22:32:21,2025-08-01
GrocerX,P100024,0.59,2025-08-01T14:23:36,2025-08-01
ValueFoods,P100024,0.52,2025-08-01T23:05:44,2025-08-01
UrbanMart,P100024,0.62,2025-08-01T19:29:43,2025-08-01
GrocerX,P100025,0.96,2025-08-01T10:24:21,2025-08-01
MarketHub,P100025,11.31,2025-08-01T14:20:38,2025-08-01
ValueFoods,P100025,10.01,2025-08-01T04:50:35,2025-08-01
GrocerX,P100026,11.91,2025-08-01T19:57:02,2025-08-01
MarketHub,P100026,9.74,2025-08-01T21:05:16,2025-08-01
ValueFoods,P100026,11.05,2025-08-01T11:12:08,2025-08-01
UrbanMart,P100026,9.70,2025-08-01T22:27:54,2025-08-01
GrocerX,P100027,3.08,2025-08-01T07:18:04,2025-08-01
UrbanMart,P100027,3.90,2025-08-01T10:18:32,2025-08-01
GrocerX,P100028,0.37,2025-08-01T20:09:24,2025-08-01
ValueFoods,P100028,0.41,2025-08-01T16:21:50,2025-08-01
