competitor,product_id,price,scrape_ts,event_date
MarketHub,P100000,1.33,2025-08-08T17:43:21,2025-08-08
ValueFoods,P100000,1.49,2025-08-08T21:57:06,2025-08-08
GrocerX,P100001,3.65,2025-08-08T15:05:05,2025-08-08
MarketHub,P100001,5.49,2025-08-08T23:42:31,2025-08-08
ValueFoods,P100001,4.32,2025-08-08T17:50:07,2025-08-08
UrbanMart,P100001,4.65,2025-08-08T17:19:15,2025-08-08
GrocerX,P100002,8.17,2025-08-08T23:17:52,2025-08-08
MarketHub,P100002,6.67,2025-08-08T10:35:43,2025-08-08
ValueFoods,P100002,8.28,2025-08-08T17:56:56,2025-08-08
GrocerX,P100003,12.32,2025-08-08T01:27:43,2025-08-08
ValueFoods,P100003,8.80,2025-08-08T22:40:35,2025-08-08
GrocerX,P100004,11.49,2025-08-08T23:47:00,2025-08-08
MarketHub,P100004,7.38,2025-08-08T17:24:51,2025-08-08
ValueFoods,P100004,11.19,2025-08-08T20:21:57,2025-08-08
UrbanMart,P100004,8.06,2025-08-08T15:10:15,2025-08-08
ValueFoods,P100005,10.19,2025-08-08T01:49:51,2025-08-08
UrbanMart,P100005,6.99,2025-08-08T16:27:46,2025-08-08
GrocerX,P100006,2.58,2025-08-08T09:00:04,2025-08-08
MarketHub,P100006,2.95,2025-08-08T12:17:49,2025-08-08
ValueFoods,P100006,4.15,2025-08-08T01:32:04,2025-08-08
UrbanMart,P100006,4.00,2025-08-08T23:39:31,2025-08-08
GrocerX,P100007,7.07,2025-08-08T15:04:24,2025-08-08
MarketHub,P100007,5.39,2025-08-08T14:55:43,2025-08-08
ValueFoods,P100007,7.48,2025-08-08T07:09:38,2025-08-08
GrocerX,P100008,3.04,2025-08-08T15:27:56,2025-08-08
ValueFoods,P100008,4.38,2025-08-08T17:27:17,2025-08-08
UrbanMart,P100008,3.99,2025-08-08T01:54:49,2025-08-08
MarketHub,P100009,3.34,2025-08-08T14:39:52,2025-08-08
ValueFoods,P100009,3.07,2025-08-08T17:21:11,2025-08-08
UrbanMart,P100009,2.56,2025-08-08T16:16:43,2025-08-08
GrocerX,P100010,0.29,2025-08-08T13:26:30,2025-08-08
MarketHub,P100010,0.49,2025-08-08T06:34:16,2025-08-08
UrbanMart,P100010,0.52,2025-08-08T12:18:09,2025-08-08
GrocerX,P100011,6.60,2025-08-08T02:20:29,2025-08-08
ValueFoods,P100011,7.43,2025-08-08T11:49:07,2025-08-08
UrbanMart,P100011,11.84,2025-08-08T21:32:10,2025-08-08
GrocerX,P100012,10.29,2025-08-08T19:18:02,2025-08-08
ValueFoods,P100012,7.58,2025-08-08T20:03:56,2025-08-08
UrbanMart,P100012,11.15,2025-08-08T00:59:28,2025-08-08
GrocerX,P100013,2.92,2025-08-08T19:58:48,2025-08-08
MarketHub,P100013,3.06,2025-08-08T07:08:15,2025-08-08
ValueFoods,P100013,4.80,2025-08-08T05:19:10,2025-08-08
UrbanMart,P100013,3.00,2025-08-08T18:46:02,2025-08-08
GrocerX,P100014,6.39,2025-08-08T13:58:02,2025-08-08
MarketHub,P100014,4.86,2025-08-08T07:27:30,2025-08-08
ValueFoods,P100014,5.38,2025-08-08T18:31:13,2025-08-08
UrbanMart,P100014,7.39,2025-08-08T20:21:11,2025-08-08
GrocerX,P100015,5.03,2025-08-08T02:08:39,2025-08-08
MarketHub,P100015,6.29,2025-08-08T12:59:24,2025-08-08
ValueFoods,P100015,6.23,2025-08-08T13:38:51,2025-08-08
MarketHub,P100016,0.34,2025-08-08T01:41:39,2025-08-08
ValueFoods,P100016,0.49,2025-08-08T06:07:49,2025-08-08
UrbanMart,P100016,0.34,2025-08-08T08:35:51,2025-08-08
GrocerX,P100017,5.89,2025-08-08T01:58:39,2025-08-08
MarketHub,P100017,4.91,2025-08-08T18:23:53,2025-08-08
ValueFoods,P100017,6.48,2025-08-08T05:11:01,2025-08-08
UrbanMart,P100017,6.00,2025-08-08T19:26:26,2025-08-08
GrocerX,P100018,4.74,2025-08-08T22:39:18,2025-08-08
MarketHub,P100018,3.53,2025-08-08T18:53:17,2025-08-08
GrocerX,P100019,2.47,2025-08-08T12:36:07,2025-08-08
MarketHub,P100019,3.41,2025-08-08T12:24:11,2025-08-08
ValueFoods,P100019,3.31,2025-08-08T03:29:11,2025-08-08
UrbanMart,P100019,3.57,2025-08-08T17:20:04,2025-08-08
ValueFoods,P100020,4.82,2025-08-08T10:49:15,2025-08-08
UrbanMart,P100020,3.38,2025-08-08T20:41:09,2025-08-08
GrocerX,P100021,3.32,2025-08-08T14:57:46,2025-08-08
MarketHub,P100021,3.43,2025-08-08T01:34:16,2025-08-08
UrbanMart,P100021,2.88,2025-08-08T10:21:43,2025-08-08
GrocerX,P100022,6.55,2025-08-08T16:08:15,2025-08-08
ValueFoods,P100022,8.65,2025-08-08T01:36:15,2025-08-08
UrbanMart,P100022,4.68,2025-08-08T17:54:30,2025-08-08
GrocerX,P100023,7.03,2025-08-08T11:25:46,2025-08-08
MarketHub,P100023,9.50,2025-08-08T11:08:43,2025-08-08
ValueFoods,P100023,7.13,2025-08-08T15:11:49,2025-08-08
UrbanMart,P100023,7.04,2025-08-08T13:24:14,2025-08-08
GrocerX,P100024,0.36,2025-08-08T07:13:49,2025-08-08
MarketHub,P100024,0.52,2025-08-08T09:15:10,2025-08-08
ValueFoods,P100024,0.37,2025-08-08T11:22:53,2025-08-08
GrocerX,P100025,7.33,2025-08-08T21:47:30,2025-08-08
MarketHub,P100025,10.42,2025-08-08T05:48:30,2025-08-08
UrbanMart,P100025,9.98,2025-08-08T13:51:40,2025-08-08
GrocerX,P100026,11.44,2025-08-08T04:24:49,2025-08-08
MarketHub,P100026,14.15,2025-08-08T10:50:18,2025-08-08
ValueFoods,P100026,13.99,2025-08-08T21:53:38,2025-08-08
UrbanMart,P100026,12.76,2025-08-08T22:35:11,2025-08-08
ValueFoods,P100027,4.23,2025-08-08T17:45:17,2025-08-08
UrbanMart,P100027,4.05,2025-08-08T01:22:33,2025-08-08
GrocerX,P100028,0.55,2025-08-08T14:00:50,2025-08-08
MarketHub,P100028,0.49,2025-08-08T14:44:47,2025-08-08
ValueFoods,P100028,0.61,2025-08-08T11:41:06,2025-08-08
UrbanMart,P100028,0.61,2025-08-08T09:02:46,2025-08-08
GrocerX,P100029,0.55,2025-08-08T03:05:38,2025-08-08
MarketHub,P100029,0.49,2025-08-08T20:40:03,2025-08-08
ValueFoods,P100029,0.60,2025-08-08T07:16:15,2025-08-08
UrbanMart,P100029,0.40,2025-08-08T22:28:36,2025-08-08
GrocerX,P100030,6.24,2025-08-08T14:06:14,2025-08-08
ValueFoods,P100030,5.73,2025-08-08T16:01:35,2025-08-10
UrbanMart,P100030,5.49,2025-08-08T05:03:01,2025-08-08
UrbanMart,P100031,10.30,2025-08-08T11:03:14,2025-08-08
GrocerX,P100032,5.16,2025-08-08T10:27:13,2025-08-08
ValueFoods,P100032,4.26,2025-08-08T01:02:28,2025-08-08
UrbanMart,P100032,6.58,2025-08-08T12:36:29,2025-08-08
GrocerX,P100033,7.69,2025-08-08T02:38:43,2025-08-08
MarketHub,P100033,12.61,2025-08-08T20:14:30,2025-08-08
ValueFoods,P100033,8.87,2025-08-08T19:01:37,2025-08-08
UrbanMart,P100033,7.85,2025-08-08T02:30:55,2025-08-08
MarketHub,P100034,6.26,2025-08-08T05:11:54,2025-08-08
ValueFoods,P100034,8.03,2025-08-08T07:03:02,2025-08-08
GrocerX,P100035,5.83,2025-08-08T01:25:58,2025-08-08
MarketHub,P100035,5.85,2025-08-08T01:52:29,2025-08-08
ValueFoods,P100035,3.71,2025-08-08T17:16:38,2025-08-08
GrocerX,P100036,5.22,2025-08-08T10:47:47,2025-08-08
ValueFoods,P100036,3.69,2025-08-08T22:36:11,2025-08-08
UrbanMart,P100036,4.25,2025-08-08T23:18:22,2025-08-08
GrocerX,P100037,5.23,2025-08-08T15:01:13,2025-08-08
ValueFoods,P100037,4.22,2025-08-08T05:31:00,2025-08-08
UrbanMart,P100037,4.22,2025-08-08T04:26:12,2025-08-08
MarketHub,P100038,9.57,2025-08-08T08:54:08,2025-08-08
ValueFoods,P100038,6.48,2025-08-08T14:13:42,2025-08-08
UrbanMart,P100038,7.69,2025-08-08T07:37:16,2025-08-08
MarketHub,P100039,8.16,2025-08-08T07:04:10,2025-08-08
ValueFoods,P100039,7.08,2025-08-08T11:25:27,2025-08-08
UrbanMart,P100039,5.14,2025-08-08T10:14:35,2025-08-08
GrocerX,P100040,4.44,2025-08-08T12:57:22,2025-08-08
MarketHub,P100040,2.31,2025-08-08T13:14:06,2025-08-08
ValueFoods,P100040,3.77,2025-08-08T13:54:58,2025-08-08
UrbanMart,P100040,4.57,2025-08-08T22:35:39,2025-08-08
GrocerX,P100041,8.97,2025-08-08T06:20:44,2025-08-08
MarketHub,P100041,6.26,2025-08-08T09:48:04,2025-08-08
ValueFoods,P100041,9.23,2025-08-08T23:22:08,2025-08-08
UrbanMart,P100041,9.98,2025-08-08T02:45:52,2025-08-08
GrocerX,P100042,12.72,2025-08-08T23:44:36,2025-08-08
MarketHub,P100042,8.89,2025-08-08T01:43:01,2025-08-08
ValueFoods,P100042,10.79,2025-08-08T16:44:51,2025-08-08
UrbanMart,P100042,11.21,2025-08-08T02:16:42,2025-08-08
GrocerX,P100043,7.06,2025-08-08T19:26:27,2025-08-08
MarketHub,P100043,7.39,2025-08-08T18:08:05,2025-08-08
ValueFoods,P100043,7.13,2025-08-08T08:25:07,2025-08-08
UrbanMart,P100043,5.95,2025-08-08T19:55:18,2025-08-08
ValueFoods,P100044,4.94,2025-08-08T13:06:42,2025-08-08
UrbanMart,P100044,6.13,2025-08-08T15:12:36,2025-08-08
GrocerX,P100045,6.00,2025-08-08T02:13:16,2025-08-08
MarketHub,P100045,7.06,2025-08-08T11:36:26,2025-08-08
ValueFoods,P100045,9.40,2025-08-08T21:18:30,2025-08-08
GrocerX,P100046,9.20,2025-08-08T14:08:12,2025-08-08
MarketHub,P100046,8.88,2025-08-08T05:11:49,2025-08-08
ValueFoods,P100046,9.05,2025-08-08T05:02:58,2025-08-08
UrbanMart,P100046,6.57,2025-08-08T22:38:52,2025-08-08
GrocerX,P100047,0.44,2025-08-08T17:16:21,2025-08-08
MarketHub,P100047,0.46,2025-08-08T19:23:58,2025-08-08
UrbanMart,P100047,0.45,2025-08-08T17:25:24,2025-08-08
GrocerX,P100048,9.95,2025-08-08T19:33:08,2025-08-08
MarketHub,P100048,11.18,2025-08-08T10:41:56,2025-08-08
UrbanMart,P100048,6.51,2025-08-08T16:01:50,2025-08-08
GrocerX,P100049,0.53,2025-08-08T22:59:21,2025-08-08
MarketHub,P100049,0.42,2025-08-08T10:51:49,2025-08-08
UrbanMart,P100049,0.06,2025-08-08T20:44:12,2025-08-08
GrocerX,P100050,10.04,2025-08-08T03:13:45,2025-08-08
MarketHub,P100050,8.40,2025-08-08T00:58:47,2025-08-08
ValueFoods,P100050,15.46,2025-08-08T09:16:26,2025-08-08
UrbanMart,P100050,10.78,2025-08-08T10:48:29,2025-08-08
GrocerX,P100051,12.73,2025-08-08T15:33:05,2025-08-08
MarketHub,P100051,11.63,2025-08-08T09:51:45,2025-08-08
ValueFoods,P100051,12.09,2025-08-08T15:26:37,2025-08-08
UrbanMart,P100051,13.32,2025-08-08T01:16:57,2025-08-08
MarketHub,P100052,6.95,2025-08-08T13:56:59,2025-08-08
GrocerX,P100053,3.12,2025-08-08T19:25:04,2025-08-08
MarketHub,P100053,2.04,2025-08-08T10:22:42,2025-08-08
ValueFoods,P100053,3.13,2025-08-08T15:00:36,2025-08-08
UrbanMart,P100053,3.09,2025-08-08T16:09:36,2025-08-08
GrocerX,P100054,10.09,2025-08-08T23:36:42,2025-08-08
MarketHub,P100054,8.26,2025-08-08T02:38:59,2025-08-08
ValueFoods,P100054,9.59,2025-08-08T11:31:46,2025-08-08
UrbanMart,P100054,6.85,2025-08-08T02:10:57,2025-08-08
GrocerX,P100055,8.18,2025-08-08T04:36:54,2025-08-08
MarketHub,P100055,8.13,2025-08-08T19:30:29,2025-08-08
ValueFoods,P100055,7.94,2025-08-08T04:33:33,2025-08-08
GrocerX,P100056,2.09,2025-08-08T12:12:19,2025-08-08
MarketHub,P100056,3.72,2025-08-08T09:09:28,2025-08-08
ValueFoods,P100056,3.01,2025-08-08T13:02:42,2025-08-08
UrbanMart,P100056,2.39,2025-08-08T00:05:56,2025-08-08
GrocerX,P100057,3.14,2025-08-08T03:54:29,2025-08-08
ValueFoods,P100057,2.61,2025-08-08T23:31:06,2025-08-08
GrocerX,P100058,3.42,2025-08-08T21:39:25,2025-08-08
MarketHub,P100058,3.25,2025-08-08T06:54:16,
ValueFoods,P100058,4.20,2025-08-08T00:43:41,2025-08-08
UrbanMart,P100058,3.41,2025-08-08T14:17:20,2025-08-08
GrocerX,P100059,8.07,2025-08-08T13:40:50,2025-08-08
MarketHub,P100059,8.26,2025-08-08T10:02:38,2025-08-08
ValueFoods,P100059,7.86,2025-08-08T00:56:27,2025-08-08
GrocerX,P100060,4.55,2025-08-08T02:25:46,2025-08-08
MarketHub,P100060,3.09,2025-08-08T12:32:37,2025-08-08
ValueFoods,P100060,4.25,2025-08-08T21:10:01,2025-08-08
UrbanMart,P100060,4.71,2025-08-08T11:04:32,2025-08-08
GrocerX,P100061,5.27,2025-08-08T06:28:00,2025-08-08
UrbanMart,P100061,3.74,2025-08-08T02:55:12,2025-08-08
GrocerX,P100062,6.63,2025-08-08T14:59:21,2025-08-08
MarketHub,P100062,8.18,2025-08-08T05:00:41,2025-08-08
ValueFoods,P100062,7.24,2025-08-08T01:07:00,2025-08-08
UrbanMart,P100062,6.92,2025-08-08T15:09:54,2025-08-08
GrocerX,P100063,1.82,2025-08-08T19:49:50,2025-08-08
MarketHub,P100063,2.07,2025-08-08T06:07:56,2025-08-08
ValueFoods,P100063,1.86,2025-08-08T17:36:34,2025-08-08
GrocerX,P100064,8.37,2025-08-08T01:59:49,2025-08-08
MarketHub,P100064,8.74,2025-08-08T03:42:52,2025-08-08
ValueFoods,P100064,10.13,2025-08-08T14:50:52,2025-08-08
UrbanMart,P100064,6.22,2025-08-08T09:54:37,2025-08-08
GrocerX,P100065,0.67,2025-08-08T19:54:25,2025-08-08
MarketHub,P100065,0.44,2025-08-08T18:28:25,2025-08-08
ValueFoods,P100065,0.60,2025-08-08T10:07:03,2025-08-08
UrbanMart,P100065,0.44,2025-08-08T21:31:27,2025-08-08
GrocerX,P100066,6.22,2025-08-08T20:40:45,2025-08-08
MarketHub,P100066,8.34,2025-08-08T08:58:52,2025-08-08
UrbanMart,P100066,7.65,2025-08-08T21:30:41,2025-08-08
GrocerX,P100067,2.14,2025-08-08T09:32:40,2025-08-08
MarketHub,P100067,1.54,2025-08-08T16:04:21,2025-08-08
GrocerX,P100068,12.92,2025-08-08T06:41:31,2025-08-08
MarketHub,P100068,13.78,2025-08-08T06:40:25,2025-08-08
ValueFoods,P100068,16.22,2025-08-08T13:41:21,2025-08-08
UrbanMart,P100068,11.24,2025-08-08T05:36:37,2025-08-08
MarketHub,P100069,9.57,2025-08-08T10:02:07,2025-08-08
ValueFoods,P100069,9.71,2025-08-08T10:32:58,2025-08-08
UrbanMart,P100069,9.07,2025-08-08T16:31:31,2025-08-08
ValueFoods,P100070,3.72,2025-08-08T07:57:18,2025-08-08
